CID;Nome do CID;Frequência;Significado Completo;Comorbidades Relacionadas
5A21.Z;Hipoglicemia no contexto do diabetes mellitus, não especificado;2;;BA01 - Doença cardíaca hipertensiva (2x) | GB41 - Síndrome nefrótica (1x) | CB02.10 - Pneumonite eosinofílica aguda idiopática (1x)
BC10.0;Não encontrado;2;;BB24 - Hemopericárdio (1x) | MF55 - Poliúria (1x) | MD11.4 - Respiração de Cheyne-Stokes relacionada ao sono (1x)
BB24;Hemopericárdio;2;Hemopericárdio causado por doenças não classificadas em outra parte. Hemopericárdio geralmente se refere a sangue no saco pericárdico do coração. É clinicamente semelhante ao derrame pericárdico e, dependendo do volume e da rapidez com que se desenvolve, pode causar tamponamento cardíaco.;BC10.0 - N/A (1x) | MF55 - Poliúria (1x) | MD11.4 - Respiração de Cheyne-Stokes relacionada ao sono (1x)
MD81.2;Dor abdominal generalizada;2;Dor, uma sensação desagradável de desconforto ocorrendo em variados graus de gravidade, ou cólicas, contrações espasmódicas causando dor intensa na região abdominal em geral.;DD50.2 - Hérnia intra-abdominal (1x) | NB90.Y - Lesão de outros vasos sanguíneos especificados ao nível do abdome, região lombar ou pelve (1x) | DB10.00 - Apendicite aguda com peritonite generalizada (1x)
NB90.Y;Lesão de outros vasos sanguíneos especificados ao nível do abdome, região lombar ou pelve;2;;DD50.2 - Hérnia intra-abdominal (1x) | MD81.2 - Dor abdominal generalizada (1x) | 5A00.2 - Hipotireoidismo adquirido (1x)
XM0N15;Soluções que produzem diurese osmótica;2;;XA9M17 - Vasos sanguíneos no nível inferior da perna (1x) | XM4AG5 - Meio de contraste de raios X, solúvel em água, nefrotrópico e de baixa osmolaridade (1x) | CB41.0 - Insuficiência respiratória aguda (1x)
5A61.40;Hipotireoidismo central adquirido;2;Hipotireoidismo central é uma condição em que há pouca ou nenhuma produção dos hormônios tireoidianos induzido por disfunção de hipotálamo ou hipófise.;1C19.1 - Doença dos legionários (1x) | ICD-11: BA51 - N/A (1x)
NF0A.3;Infecção pós-traumática da ferida, não classificada em outra parte;2;;9e+90 - N/A (1x) | BD45.0 - N/A (1x)
NA06.1;Ferimento penetrante da órbita ocular com ou sem corpo estranho;2;;FA32.3 - N/A (1x) | 6C45 - Transtornos devidos ao uso de cocaína (1x) | NE88 - Toxicidade por drogas associada a danos em cuidados médicos ou cirúrgicos, não classificada em outra parte (1x)
JA20.2;Doença renal hipertensiva preexistente complicando a gravidez, o parto ou o puerpério;2;Condição que acomete mulheres grávidas, causada por hipertensão e doença renal associada previamente diagnosticadas ou diagnosticadas durante as primeiras 20 semanas (de gestação). Essa condição é caracterizada por pressão arterial maior ou igual a 140/90 mmHg, levando a uma complicação durante a gravidez, parto e puerpério. A confirmação é feita pela aferição com esfigmomanômetro.;MF95 - Mioglobinúria (1x) | NB90.7 - Lesão de múltiplos vasos sanguíneos ao nível do abdome, região lombar ou pelve (1x) | BC44 - Cardiomiopatia não compactada (1x)
2A36;Síndrome mielodisplásica com del(5q) isolada;2;Síndrome mielodisplásica caracterizada por anemia com ou sem outras citopenias e/ou trombocitose e na qual a única anormalidade citogenética é del(5q). Os mieloblastos são <5% na medula óssea e <1% no sangue.;3B64.0 - Trombocitopenia congênita (1x) | 4A85.01 - Hipersensibilidade renal induzida por droga (1x) | 3A71.2 - Anemia na doença renal crônica (1x)
DA22.0;Doença do refluxo gastroesofágico não erosiva;2;Condição patológica em que os pacientes apresentam sintomas clássicos de doença do refluxo gastroesofágico (DRGE), mas não têm esofagite aparente ou lesão da mucosa esofágica.;GB61.0 - Doença renal crônica, estágio 1 (1x) | MF56 - Cólica renal (1x) | BD53.4 - Ateroembolismo de colesterol (1x)
2A00.00;Glioblastoma cerebral;2;Glioblastomas são tumores astrocíticos malignos (grau IV de acordo com a classificação da OMS). Representam os tumores cerebrais mais frequentes em adultos. Podem ocorrer em qualquer idade, mas 70% dos casos são vistos em pacientes entre 45 e 70 anos de idade. Os tumores geralmente estão localizados nos hemisférios cerebrais, mas podem ser encontrados em qualquer lugar do sistema nervoso central.;
NB30.0Z;Lesão da aorta torácica, não especificada;2;;BA51 - Miocardiopatia isquêmica (1x) | BA40.Y - Outra angina pectoris especificada (1x) | BA43 - Trombose coronária que não resulta em infarto do miocárdio (1x)
ME83;Reumatismo, não especificado;2;É um grupo de doenças marcadas por inflamação ou dor em estruturas de tecido conjuntivo do corpo e é considerado não especificado.;FB84.4 - Osteomielite crônica com seio drenante (1x)
8C01.0;Polineuropatia desmielinizante inflamatória aguda;2;Fraqueza progressiva dos membros ao longo de alguns dias a 28 dias, déficit simétrico, arreflexia, distúrbio sensorial ausente ou leve, proteína do líquido cefalorraquidiano elevada e redução das velocidades de condução nervosa são as características principais. O transtorno pode ser precedido por infecção respiratória superior ou gastrointestinal ou imunização 1 a 4 semanas antes do início da doença. A paralisia bifacial pode estar presente.;MG27 - Hemorragia, não classificada em outra parte (1x) | CB00 - Síndrome do desconforto respiratório agudo (1x) | ME01 - Distensão abdominal (1x)
MG27;Hemorragia, não classificada em outra parte;2;Sangramento ou saída de sangue de um vaso.;8C01.0 - Polineuropatia desmielinizante inflamatória aguda (1x) | CB00 - Síndrome do desconforto respiratório agudo (1x) | ME01 - Distensão abdominal (1x)
5A10;Diabetes mellitus tipo 1;2;Diabetes mellitus tipo 1 ( diabetes tipo 1, DM1, anteriormente dependente de insulina ou diabetes juvenil) é uma forma de diabetes mellitus que resulta da destruição das células beta produtoras de insulina, principalmente por mecanismos autoimunes. A subsequente falta de insulina leva ao aumento da glicose no sangue e na urina.;8D88.1 - Neuropatia autonômica devida a diabetes mellitus (1x) | PK91.1Y - Outros dispositivos cardiovasculares especificados associados às lesões ou danos, dispositivos terapêuticos, não cirúrgicos ou de reabilitação (1x) | BC02.9 - N/A (1x)
5A24;Diabetes mellitus não controlado ou instável;2;Diabetes instável ou lábil é um termo utilizado para descrever diabetes mellitus tipo 1 e tipo 2 com controle particularmente difícil. Isso resulta em oscilações extremas e frequentes nos níveis de glicose no sangue, causando hiperglicemia que pode levar à cetoacidose e hipoglicemia.;9B71.0 - Retinopatia diabética (1x)
FB84.4;Osteomielite crônica com seio drenante;2;;2A00.10 - Meduloblastoma do cérebro (1x) | 6e+50 - N/A (1x) | 7A21 - Hipersonia idiopática (1x)
6E61;Síndrome psicótica secundária;2;Síndrome caracterizada pela presença de alucinações ou delírios proeminentes, considerados consequência fisiopatológica direta de uma condição de saúde não classificada como transtorno mental e comportamental, com base em evidências de anamnese, exame físico ou achados laboratoriais. Os sintomas não são explicados por delirium ou por outro transtorno mental e comportamental, e não são uma resposta psicologicamente mediada a uma condição médica grave (p. ex., uma reação aguda ao estresse em resposta ao diagnóstico de uma doença potencialmente fatal). Essa categoria deve ser utilizada somada ao diagnóstico do transtorno ou doença subjacente presumido, quando os sintomas psicóticos forem suficientemente graves para exigir atenção clínica específica.;8B22 - Algumas doenças cerebrovasculares especificadas (2x) | 8E22 - Estado minimamente consciente (1x) | 7A41 - Apneia obstrutiva do sono (1x)
MG29.0Y;Outro edema localizado especificado;2;;CB21.1 - Outro pneumotórax espontâneo (1x) | 8B00 | Representação de doença CID-11: Hemorragia intracerebral - N/A (1x) | FA43.0 - N/A (1x)
8E44;Dano cerebral pós-anóxico;2;O dano cerebral pós-anóxico refere-se à gravidade variável da encefalopatia que resulta de parada circulatória, hipotensão ou asfixia.;2e+65 - N/A (1x) | 2C53.0 - Adenocarcinoma envolvendo localizações sobrepostas de retroperitônio, peritônio ou omento (1x) | MB23.6 - Comportamento desorganizado (1x)
BA43;Trombose coronária que não resulta em infarto do miocárdio;2;Trombo sobreposto associado a ruptura ou erosão da placa que não obstrui o fluxo coronário para causar infarto do miocárdio.;7A01 - Insônia de curta duração (1x) | 6E62.0 - Síndrome de humor secundária com sintomas depressivos (1x) | BA41 - Infarto agudo do miocárdio (1x)
VW21;Cuidado com partes do corpo;2;;CB21.1 - Outro pneumotórax espontâneo (1x) | ME24.A5 - Hematêmese (1x) | FA38.1Y - Outra artropatia neuropática especificada (1x)
ME24.A5;Hematêmese;2;"Vômito de sangue que pode ser vermelho vivo ou em ""borra de café"". Vomitar sangue é uma regurgitação de sangue pelo trato gastrointestinal superior e geralmente indica sangramento do trato gastrointestinal superior.";CB21.1 - Outro pneumotórax espontâneo (1x) | VW21 - Cuidado com partes do corpo (1x) | ME86.E - Sintoma ou queixa do punho (1x)
MG30.20;Dor crônica pós-traumática;2;Dor pós-traumática crônica é a dor que se desenvolve ou aumenta de intensidade após uma lesão tecidual (envolvendo qualquer traumatismo, incluindo queimaduras) e que persiste além do processo de cicatrização, ou seja, por pelo menos 3 meses após o traumatismo tecidual. A dor é ou localizada na área da lesão, ou referida no território de inervação de um nervo situado nesta área, ou referida a um dermátomo (após cirurgia/lesão de tecidos somáticos profundos ou viscerais). Outras causas de dor, incluindo infecção, malignidade, etc., precisam ser excluídas, bem como a dor persistente por um problema doloroso preexistente.;8B60 - Doença do neurônio motor (1x) | G88.4 - N/A (1x) | 8C10.0 - Síndrome do túnel do carpo (1x)
AB31.0;Doença de Ménière;2;A doença de Meniere (DM) é uma doença crônica progressiva da orelha interna, com hidropisia endolinfática. É caracterizada por ataques recorrentes de vertigem espontânea debilitante com duração de 20 minutos a até 12 horas, acompanhada por sensação de plenitude auricular e zumbido na orelha afetada, e perda auditiva neurossensorial flutuante ipsilateral (PANS) nas frequências baixa ou baixa e média. Pode ocorrer nistagmo durante as crises e quedas são frequentes. Quando conhecida, a etiologia deve ser acrescentada.;8A68.5 - Crise epiléptica mioclônica generalizada (1x) | 8A80 - Enxaqueca (1x) | MB48.00 - Vertigem de origem central (1x)
8B60;Doença do neurônio motor;2;Doença do neurônio motor é um transtorno neurodegenerativo de etiologia indeterminada, caracterizado por degeneração de neurônios motores superiores (células corticais de Betz e trato corticoespinal) ou neurônios motores inferiores (cornos ventrais da medula espinal e núcleos motores dos nervos cranianos) ou ambos. Características de envolvimento dos neurônios motores inferiores (NMI) são atrofia, fraqueza, fasciculações, hipotonia, diminuição ou ausência de reflexos tendinosos profundos. Características de envolvimento dos neurônios motores superiores (NMS) são espasticidade, reflexos tendinosos profundos exacerbados e respostas plantares extensoras. Dependendo da localização de início e da presença de características de NMI ou NMS ou ambos, a DNM têm padrões e distribuições variáveis de sinais e sintomas.;G88.4 - N/A (1x) | MG30.20 - Dor crônica pós-traumática (1x) | 8C10.0 - Síndrome do túnel do carpo (1x)
2B51;Osteossarcoma, localização primária;2;Tumor mesenquimal maligno formador de osso geralmente agressivo, que afeta predominantemente adolescentes e adultos jovens. Ele geralmente acomete ossos e, menos frequentemente, localizações extraósseas. Frequentemente acomete os ossos longos (particularmente fêmur distal, tíbia proximal e úmero proximal). Dor com ou sem uma massa palpável é o sintoma clínico mais frequente. Ele pode disseminar para outras localizações anatômicas, particularmente os pulmões.;8B82 - Transtornos do nervo trigêmeo (1x) | 2B68 - Neoplasias malignas das glândulas submandibulares ou sublinguais (1x) | MG30.2 - Dor crônica pós-operatória ou pós-traumática (1x)
8B00.5;Hemorragia de múltiplos territórios;2;Disfunção neurológica aguda causada por hemorragia de vários territórios, dentro do parênquima cerebral, ou no sistema ventricular combinada com hemorragia no parênquima cerebral.;6E61 - Síndrome psicótica secundária (1x) | 2C70.0 - Carcinoma basocelular da vulva (1x) | 8E20 - Estado vegetativo persistente (1x)
8e+40;Não encontrado;2;;MD11.2 - Respiração atáxica (1x) | 6e+61 - N/A (1x)
8B20;Acidente vascular cerebral não conhecido se isquêmico ou hemorrágico;2;Preenche os critérios para acidente vascular cerebral nos sintomas agudos de lesão cerebral focal que duraram 24 horas ou mais (ou levaram à morte antes de 24 horas), mas o subtipo de acidente vascular cerebral (isquêmico ou hemorrágico) não foi determinado por neuroimagem ou outras técnicas.;GC02.0 - Abscesso uretral (1x) | 8B22 - Algumas doenças cerebrovasculares especificadas (1x) | 9A00.0 - Distopia canthorum (1x)
MG29;Edema;2;Acúmulo anormal de líquido em tecidos ou cavidades corporais, não codificado em outra parte.;BD93 - Linfedema (1x) | NC56.Y - Lesão de outros vasos sanguíneos especificados ao nível de punho ou mão (1x) | MB20.1 - Coma (1x)
MC90;Achados clínicos em exames diagnósticos por imagem do coração ou da circulação coronariana;2;;BA40.Y - Outra angina pectoris especificada (2x) | MB23.1 - Comportamento antissocial (1x) | 3B11.9 - N/A (1x)
NC71.2;Ferimento perfurante sem corpo estranho do quadril ou coxa;2;;NC91.2 - Ferimento perfurante sem corpo estranho da perna (1x) | EH90.2 - Úlcera por pressão grau 3 (1x)
MG29.10;Edema devido a pressão capilar aumentada;2;O aumento da pressão capilar aumenta o vazamento de fluido do compartimento vascular para os tecidos intersticiais, resultando em edema. Causas incluem o comprometimento ou obstrução do retorno venoso (sobrecarga de fluido, trombose venosa, insuficiência cardíaca direita, compressão venosa por tumor), aumento do fluxo sanguíneo (resposta fisiológica à exposição ao calor, malformações arteriovenosas, controle vasomotor cutâneo prejudicado devido a drogas ou neuropatia autonômica), ou pressão oncótica plasmática reduzida por hipoproteinemia.;BB71 - Insuficiência da valva aórtica (1x) | BC63.3 - Bloqueio de ramo direito (1x) | 3A71.2 - Anemia na doença renal crônica (1x)
FA38.1;Artropatia neuropática;2;A artropatia neuropática é uma artrite progressiva, destrutiva, associada à perda da sensibilidade dolorosa, da propriocepção, ou de ambas. Os reflexos musculares normais que modulam os movimentos articulares também estão diminuídos. Sem estes mecanismos de proteção, as articulações ficam sujeitas ao trauma repetitivo, o que resulta no dano cartilaginoso e ósseo progressivo. Os sintomas adicionais incluem alterações cutâneas, tais como eritema, edema, hiperpigmentação ou púrpura, e úlceras de tecidos moles sobre as áreas afetadas, bem como afrouxamento ou instabilidade das articulações e deformidades articulares.;ME62.3 - exantema maculopapular agudo (1x) | NA23.4Z - Distensão ou entorse da coluna cervical, não especificado (1x) | FA38.1Y - Outra artropatia neuropática especificada (1x)
ME63.2;Dermatose papulosa crônica;2;Diagnóstico provisório para um transtorno crônico da pele de natureza desconhecida, incerta ou não especificada e caracterizado pela presença de múltiplas pápulas cutâneas.;EA11 - Síndrome pápulo-purpúrica em 'luvas e meias' (1x) | EH40.02 - Dermatite psoriasiforme da área de fraldas (1x) | ME62.9 - Escoriação cutânea aguda (1x)
FA26.2;Condrocalcinose;2;A condrocalcinose refere-se à calcificação radiográfica das estruturas fibrocartilaginosas e/ou cartilagem hialina e não é específica para DPFC ou outra doença por deposição de cristais. Nos diversos países em que doença por deposição de pirofosfato de cálcio familiar l (DPFC Familiar l ) foi descrita, alguns indivíduos com o mesmo grau de parentesco tiveram a DPFC associada à mutação ANKH no cromossomo 5p.;FA33 - Transtorno interno do joelho (1x) | FA80.8 - Degeneração de disco intervertebral da coluna lombar sem prolapso de disco (1x) | DB98.5 - Síndrome de Budd-Chiari (1x)
NA02.Y;Fratura de outros ossos especificados da face ou do crânio;2;;FB42.2 - Gânglio (1x) | 2B52 - Sarcoma de Ewing, localização primária (1x) | AA12 - Condrodermatite nodular (1x)
8B11.22;Acidente vascular cerebral isquêmico devido à embolia paradoxal;2;Perda súbita da função cerebral devida à falta de fluxo sanguíneo adequado. É o resultado de um tromboembolismo - um coágulo de sangue que se desprendeu e percorreu pelos vasos sanguíneos - que se originou no sistema venoso. Por causa de um defeito cardíaco, ele passa para o sistema de circulação sistêmica, ao invés de se alojar nos pulmões.;6D81 - Demência devida a doença cerebrovascular (1x) | 7A42.4 - Hipoventilação relacionada ao sono devida a medicamento ou substância (1x) | 1D03 - Abscesso infeccioso do sistema nervoso central (1x)
2B62.1Z;Neoplasias malignas da amígdala lingual, não especificadas;2;;FA32.9 - N/A (1x) | ND34 - Traumatismos por esmagamento envolvendo múltiplas regiões do corpo (1x) | CC/HA0.00.00 - N/A (1x)
8C60;Miastenia gravis;2;"Miastenia gravis é o transtorno de transmissão neuromuscular mediado por autoanticorpo adquirido mais comum. A prevalência é de 1–2 por 10.000 pessoas. Fraqueza flutuante aumentando com a atividade repetida e melhorando após um período de descanso é a marca característica. Miastenia Gravis com anticorpos dirigidos contra proteínas pós-sinápticas, geralmente o receptor nicotínico de acetilcolina, são as mais prevalentes. Outros tipos são Miastenia Gravis associada a anticorpos quinase específicos do músculo e Miastenia Gravis com autoanticorpos desconhecidos (soronegativos).
Existem três grupos: 
1. Miastenia Gravis puramente ocular
2. Miastenia Gravis generalizada de início precoce (<40-50 anos)
3. MG generalizada de início tardio.
Em cerca de 15%, a doença pode ser classificada como paraneoplásica, geralmente associada a um timoma.";6C48.2 - Intoxicação por cafeína (1x) | CB41.20 - Insuficiência respiratória não especificada, Tipo I (1x) | EE40.3 - Fragilidade cutânea (1x)
BC42.2;Miocardite por hipersensibilidade;2;Miocardite de hipersensibilidade é a presença de cardiomiopatia dilatada em associação com um transtorno relacionado conhecido {síndrome hipereosinofílica (geralmente uma cardiomiopatia restritiva), síndrome de Churg-Strauss, malignidade, infecção parasitária, drogas ou vacinas) e achados de infiltração intersticial linfocítica e eosinofílica, células gigantes, e possível necrose miocárdica na biópsia, geralmente com eosinofilia periférica.;BC43.1 - Cardiomiopatia hipertrófica (1x) | BC81.30 - Fibrilação atrial paroxística (1x) | BC43.2Y - Outra cardiomiopatia restritiva especificada (1x)
HA01.1;Disfunção erétil do homem;2;A disfunção erétil peniana é caracterizada pela incapacidade ou redução acentuada na capacidade dos homens de atingir ou manter uma ereção peniana de duração ou rigidez suficiente para permitir a atividade sexual. O padrão de dificuldade erétil ocorre apesar do desejo de atividade sexual e estimulação sexual adequadas, de forma episódica ou persistente por um período de pelo menos vários meses e está associado a sofrimento clinicamente significativo.;8C80 - Miopatia induzida por drogas (1x) | FA80.8 - Degeneração de disco intervertebral da coluna lombar sem prolapso de disco (1x) | 5C50.10 - Alcaptonúria (1x)
1F23.3;Candidíase sistêmica ou invasiva;2;Invasão de órgãos internos por leveduras da Candida. Fatores de risco incluem leucemia aguda, transplante de células-tronco hematopoéticas ou de órgãos sólidos, e doença crítica aguda. Espécies de Candida que não a Candida albicans estão comumente implicadas;3A71.2 - Anemia na doença renal crônica (1x) | EB13.0 - Síndrome de Stevens-Johnson (1x) | GB50 - Nefrite túbulo-intersticial aguda (1x)
8C80;Miopatia induzida por drogas;2;Miopatia causada por medicamentos que variam de mialgias leves com ou sem fraqueza leve até miopatia crônica com fraqueza grave, e rabdomiólise maciça com insuficiência renal aguda. Pode ser devida a vários mecanismos diferentes, incluindo miotoxicidade direta, danos musculares imunomediados e indiretos por meio de coma induzido por drogas, hipocalemia induzida por drogas, estados hipercinéticos induzidos por drogas ou estados distônicos.;HA01.1 - Disfunção erétil do homem (1x) | FA80.8 - Degeneração de disco intervertebral da coluna lombar sem prolapso de disco (1x) | 5C50.10 - Alcaptonúria (1x)
BC43.1;Cardiomiopatia hipertrófica;2;A cardiomiopatia hipertrófica é a presença de um ventrículo hipertrofiado e não dilatado na ausência de uma causa hemodinâmica que seja capaz de produzir a magnitude existente de espessamento da parede, excluindo tanto a hipertrofia fisiológica secundária à atividade física quanto a hipertrofia patológica devida a hipertensão arterial sistêmica, estenose valvar aórtica e coarctação da aorta.;BA01 - Doença cardíaca hipertensiva (2x) | BC42.2 - Miocardite por hipersensibilidade (1x) | BC81.30 - Fibrilação atrial paroxística (1x)
1A03.0;Infecção por Escherichia coli enteropatogênica;2;Infecção do sistema gastrointestinal causada pela bactéria gram-negativa Escherichia coli. É caracterizada por diarreia aguda, profusa e aquosa. A transmissão ocorre pela via fecal-oral a partir de alimentos, água ou fômites contaminados. A confirmação é feita pela identificação de Escherichia coli enteropatogênica (EPEC) em amostra fecal.;EB50 - Lúpus eritematoso cutâneo subagudo (1x) | BA02 - Doença renal hipertensiva (1x) | GB40 - Síndrome nefrítica (1x)
EB50;Lúpus eritematoso cutâneo subagudo;2;Lúpus eritematoso cutâneo subagudo é uma forma não cicatricial de lúpus eritematoso, tipificada pela presença de anticorpos anti-Ro/SSA circulantes e manchas eritematosas inflamadas discoides ou anulares com descamação fina variável em pele exposta ao sol, especialmente nos lados de face e pescoço, no V do decote, nas superfícies extensoras dos braços e na parte superior do dorso: em contraste com o lúpus eritematoso sistêmico, as bochechas tendem a ser poupadas. A doença visceral é menos frequente do que no lúpus eritematoso sistêmico: o envolvimento renal é raro e leve.;BA02 - Doença renal hipertensiva (2x) | GB40 - Síndrome nefrítica (1x) | 3A71.2 - Anemia na doença renal crônica (1x)
GB60.0;Insuficiência renal aguda, estágio 1;2;Taxa de alteração da creatinina sérica: aumento 1,5-1,9 vezes o valor basal em 7 dias OU aumento de 0,3 mg/dl em 48 h OU Magnitude da produção de urina: <0,5 ml/kg/h por 6-12 horas;MF56 - Cólica renal (1x) | BA01 - Doença cardíaca hipertensiva (1x) | DD91.2 - Diarreia funcional (1x)
BC43.2Y;Outra cardiomiopatia restritiva especificada;2;;BC42.2 - Miocardite por hipersensibilidade (1x) | BC43.1 - Cardiomiopatia hipertrófica (1x) | BC81.30 - Fibrilação atrial paroxística (1x)
EB31;Eritema nodoso;2;Erupção eritematosa comumente associada a reações a medicamentos ou infecção e caracterizada por nódulos inflamatórios que geralmente são dolorosos, múltiplos e bilaterais. Esses nódulos localizam-se predominantemente na face anterior das pernas, com ocorrência menos comum nas coxas e antebraços. Eles sofrem mudanças de cor características que terminam em áreas temporárias semelhantes a hematomas. Esta condição geralmente desaparece em 3-6 semanas sem cicatriz ou atrofia.;FA26.1 - Doença por deposição de hidroxiapatita (1x) | 9C40.A0 - Papiledema (1x) | EA91.4 - Líquen plano e reações liquenóides da mucosa oral (1x)
FA84;Espondilolistese;2;Este é o deslizamento anterior do corpo vertebral, com a porção anterior da vértebra à frente do corpo vertebral da vértebra abaixo.;
CB01;Edema pulmonar;2;Edema pulmonar é uma condição causada por excesso de líquido nos pulmões, que se acumula nos sacos alveolares do pulmão, dificultando a respiração.;9e+20 - N/A (1x) | MF95 - Mioglobinúria (1x) | 5C78 - Sobrecarga de líquidos (1x)
NE82.1Y;Outra disfunção especificada do marcapasso ou cardioversor desfibrilador implantável;2;;3A51.8 - Hemoglobina de baixa afinidade (1x) | 1B41.2 - Miocardite reumática aguda (1x) | BC63.3 - Bloqueio de ramo direito (1x)
6C46.3;Intoxicação por estimulantes, incluindo anfetaminas, metanfetamina ou metcatinona;2;Intoxicação por estimulantes, incluindo anfetaminas, metanfetamina e metcatinona, mas excluindo cafeína, cocaína e catinonas sintéticas é uma condição transitória clinicamente significativa, que se desenvolve durante ou logo após o consumo de anfetaminas ou outros estimulantes, caracterizada por perturbações em consciência, cognição, percepção, afeto, comportamento ou coordenação. Essas perturbações são causadas pelos efeitos farmacológicos conhecidos das anfetaminas ou outros estimulantes e sua intensidade está intimamente relacionada à quantidade de anfetaminas ou outros estimulantes consumida. Têm duração limitada, e diminuem à medida que as anfetaminas ou outros estimulantes são eliminados do corpo. Sintomas de apresentação podem incluir ansiedade, raiva, atenção prejudicada, hipervigilância, agitação psicomotora, ideação paranoide (possivelmente de intensidade delirante), alucinações auditivas transitórias, confusão transitória, mudanças na sociabilidade. Sudorese ou calafrios, nausea ou vômitos, e palpitações podem estar presentes. Sinais físicos podem incluir taquicardia, elevação da pressão arterial, dilatação pupilar, discinesias e distonias, e feridas na pele. Em casos raros, geralmente na intoxicação grave, o uso de estimulantes, incluindo anfetaminas, metanfetamina e metcatinona pode resultar em convulsões.;BA01 - Doença cardíaca hipertensiva (1x) | EF40 - Vasculite ou capilarite envolvendo a pele (1x) | DC11.2 - Cálculo de vesícula biliar ou ducto cístico com colangite (1x)
MG29.1;Edema generalizado;2;;8D64.10 - Hidrocefalia devida a malformações estruturais (1x) | MB20.1 - Coma (1x) | EE12.1 - Onicomicose (1x)
8D64.10;Hidrocefalia devida a malformações estruturais;2;Aumento ventricular devido a um acúmulo de líquido cefalorraquidiano secundário à obstrução causada por uma anormalidade estrutural, como malformações de Chiari ou estenose do aqueduto.;MB20.1 - Coma (1x) | MG29.1 - Edema generalizado (1x) | 9A94.1 - Síndrome da íris flácida (1x)
500000000000.0;Não encontrado;2;;BA40.Y - Outra angina pectoris especificada (1x) | 5B81.01 - Obesidade em adultos (1x) | 9A10.3 - Hiperlacrimação (1x)
6e+61;Não encontrado;2;;NB90.7 - Lesão de múltiplos vasos sanguíneos ao nível do abdome, região lombar ou pelve (1x) | 8e+40 - N/A (1x)
CA23.22;Asma variante com tosse;2;Asma variante com tosse é uma forma oculta de asma em que o único sinal ou sintoma é tosse crônica.;BA02 - Doença renal hipertensiva (1x)
9B01.1;Pupilas parassimpatoparéticas;2;Dano ao estímulo parassimpático para o músculo esfíncter da íris.;8D60.1 - Edema cerebral (1x) | 9B02.0 - Pupila de Argyll Robertson (1x) | 9A78.6 - Anestesia da córnea (1x)
FA09.3;Não encontrado;2;;9A94.1 - Síndrome da íris flácida (1x) | QA77 - Medicação ou substância que se sabe que está contraindicada para o paciente sem lesão ou dano (1x) | QA02.8 - Observação por suspeita de alergia ou hipersensibilidade, descartada (1x)
5C80.2;Hiperlipidemia mista;2;Níveis séricos elevados de colesterol LDL e triglicerídeos.;5B70 - Deficiência de ácidos graxos essenciais (1x) | 5A00.20 - Hipotireoidismo devido a medicamentos ou outras substâncias exógenas (1x) | BA40.Y - Outra angina pectoris especificada (1x)
FA38.2;Artropatia associada a reações de hipersensibilidade classificadas em outra parte;2;;MG30.31 - Dor musculoesquelética secundária crônica associada a alterações estruturais (1x) | ME62.7 - Erupção cutânea descamativa aguda (1x) | BB72.0 - Estenose aórtica reumática com insuficiência (1x)
HMP;Não encontrado;2;;9A94.1 - Síndrome da íris flácida (1x) | QA77 - Medicação ou substância que se sabe que está contraindicada para o paciente sem lesão ou dano (1x) | QA02.8 - Observação por suspeita de alergia ou hipersensibilidade, descartada (1x)
AA91.2;Outra otite média crônica supurativa;2;Isso envolve uma perfuração (orifício) na membrana timpânica e infecção bacteriana ativa no espaço da orelha média por várias semanas ou mais. Pode haver pus suficiente para drenar para fora da orelha (otorreia), ou a purulência pode ser mínima o suficiente para ser observada apenas no exame com um microscópio binocular.;AB70.2 - Otalgia (1x) | CA08.01 - Rinite alérgica devida a outros alérgenos sazonais (1x) | NA00 - Traumatismo superficial da cabeça (1x)
AB70.2;Otalgia;2;Dor em um ou em ambas orelhas.;AA91.2 - Outra otite média crônica supurativa (1x) | AA42 - Cerume impactado (1x)
MC82.0;Parada cardíaca com taquicardia e fibrilação ventricular;2;Despolarização ventricular rápida ou descoordenada resultando em colapso hemodinâmico.;BA51 - Miocardiopatia isquêmica (2x) | FB32.20 - Rabdomiólise idiopática (1x) | MF95 - Mioglobinúria (1x)
MC81;Anormalidades do batimento cardíaco;2;Anormalidades do batimento cardíaco são chamadas arritmia, que é qualquer distúrbio da frequência ou ritmo cardíacos. Isso significa que o coração bate muito rápido, muito devagar ou com um padrão irregular.;BC81.30 - Fibrilação atrial paroxística (2x) | 1F53.2 - Doença de Chagas crônica com envolvimento cardíaco (1x) | BC62 - Via acessória (1x)
NB51.2;Ferimento perfurante sem corpo estranho do abdome, região lombar ou pelve;2;;
1F53.2;Doença de Chagas crônica com envolvimento cardíaco;2;Doença causada por infecção crônica pelo protozoário parasita Trypanosoma cruzi. Essa doença comumente se apresenta com graves mal-estar ou envolvimento cardíaco (como cardiomiopatia, insuficiência cardíaca, tromboembolismo, bradiarritmias, taquiarritmias, aneurismas apicais ou parada cardíaca). A transmissão ocorre por contato direto com fezes de um inseto triatomíneo infectado, transmissão vertical, transmissão iatrogênica ou ingestão de água ou alimentos contaminados. A confirmação é feita pela identificação do Trypanosoma cruzi em uma amostra de sangue.;BC81.30 - Fibrilação atrial paroxística (1x) | BC62 - Via acessória (1x) | MC82.1 - Parada cardíaca com bradicardia (1x)
